team,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches
Manchester United,6.304347826086956,5.666443353449403,-0.6379044726375529,4.869565217391305,4.625049839950157,-0.24451537744114749,4.468085106382978,4.787050592039504,0.31896548565652605,6.680851063829787,5.4746826717350725,-1.2061683920947148,0.08117375092374342,0.04674641904937678,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Manchester City,7.531914893617022,6.992900239352538,-0.5390146542644834,2.702127659574468,3.0508270799290034,0.3486994203545355,6.086956521739131,5.9076505565855335,-0.1793059651535973,4.173913043478261,3.6112713866727586,-0.5626416568055022,0.29150748736009197,-0.3693280004568089,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Liverpool,7.108695652173913,6.899254022533157,-0.2094416296407564,3.8043478260869565,3.5301746702430523,-0.2741731558439042,6.340425531914893,5.828537584002018,-0.5118879479128751,4.148936170212766,4.178676287645365,0.029740117432599078,0.27802539760923534,-0.22339337668610396,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Tottenham Hotspur,6.851063829787234,6.668221268278007,-0.1828425615092275,5.297872340425532,4.892920444986059,-0.4049518954394733,5.456521739130435,5.6333595130230885,0.17683777389265387,6.195652173913044,5.791761754211088,-0.4038904197019555,0.24396525246993636,0.10304862516822608,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
West Ham United,4.869565217391305,4.875306121611359,0.005740904220054688,5.260869565217392,5.0164240954965305,-0.24444546972086112,3.872340425531915,4.1186923789905086,0.24635195345859362,6.425531914893617,5.937953323760313,-0.48757859113330415,-0.06920499881799985,0.12797662023817002,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Nottingham Forest,4.6521739130434785,4.8546319128172195,0.20245799977374102,5.543478260869565,5.044062745693735,-0.4994155151758308,3.9148936170212765,4.101226664207056,0.1863330471857796,6.531914893617022,5.9706692607860665,-0.5612456328309552,-0.07345461270748488,0.13347112963256683,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Newcastle United,6.276595744680851,6.181979374490147,-0.09461637019070412,5.0638297872340425,4.668478666131808,-0.3953511211022347,4.739130434782608,5.222578993331731,0.4834485585491226,5.5,5.526089478229733,0.026089478229732954,0.1682506118499249,0.05609252312108814,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Burnley,4.851851851851852,4.653314451060767,-0.19853740079108473,5.333333333333333,5.324283171670301,-0.00905016166303163,3.9642857142857144,3.9311522781457438,-0.03313343613997066,7.285714285714286,6.30236685615223,-0.9833474295620555,-0.1158081446101079,0.18753735882283099,1.4847407280623883,0.16864716741063934,0.0772879341618186,55
Luton Town,6.578947368421052,5.725735645228673,-0.8532117231923788,5.105263157894737,5.091404995568634,-0.013858162326103596,4.105263157894737,4.837141130806216,0.7318779729114793,6.7894736842105265,6.026708396363004,-0.7627652878475226,0.09158314269541994,0.14281309497419836,1.4847407280623883,0.16864716741063934,0.0772879341618186,38
Leicester City,4.105263157894737,3.9070345716321717,-0.19822858626256545,5.684210526315789,5.160721560444924,-0.5234889658708655,3.1578947368421053,3.300689867104238,0.14279513026213264,6.421052631578948,6.108758581706848,-0.31229404987209985,-0.29060923080034573,0.15633567895028763,1.4847407280623883,0.16864716741063934,0.0772879341618186,38
Ipswich Town,4.105263157894737,4.14400551741075,0.03874235951601257,5.842105263157895,5.611820866235684,-0.2302843969222108,3.526315789473684,3.5008845634113928,-0.025431226062291312,7.2631578947368425,6.642725920028766,-0.6204319747080769,-0.23172505909521915,0.2401345138956929,1.4847407280623883,0.16864716741063934,0.0772879341618186,38
Southampton,3.1578947368421053,4.362980142647197,1.2050854058050913,7.157894736842105,5.453849267702388,-1.704045469139717,4.842105263157895,3.685875843478042,-1.1562294196798528,5.526315789473684,6.455734557114968,0.929418767641284,-0.1802325526489955,0.2115809189608351,1.4847407280623883,0.16864716741063934,0.0772879341618186,38
Sheffield United,4.105263157894737,4.024387763556841,-0.08087539433789637,6.105263157894737,5.91632780353659,-0.18893535435814712,3.3157894736842106,3.3998306564564746,0.08404118277226402,8.052631578947368,7.00317151753661,-1.049460061410758,-0.26101510460524496,0.29297522490908345,1.4847407280623883,0.16864716741063934,0.0772879341618186,38
Leeds United,5.222222222222222,4.639128409562885,-0.583093812659337,3.3333333333333335,2.919894905104196,-0.4134384282291377,3.125,3.919167812032658,0.7941678120326578,3.5,3.4562866549420215,-0.043713345057978525,-0.11886138964614537,-0.4131931038325768,1.4847407280623883,0.16864716741063934,0.0772879341618186,17
Sunderland,3.875,4.016643081151372,0.14164308115137203,3.75,3.9878835273629227,0.23788352736292273,3.3333333333333335,3.393287895118944,0.059954561785610316,5.555555555555555,4.720467367847178,-0.8350881877083776,-0.2629413961342346,-0.10148008216589262,1.4847407280623883,0.16864716741063934,0.0772879341618186,17
